,ESL0825_0,ESL0822_4,ESL0170_5,ESL0824_6,ESL0198_8,ESL0827_10,ESL0199_12,ESL0200_13,ESL0819_14,ESL0197_15,ESL0394_20,ESL0394_21,ESL0394_22,ESL0394_23,ESL0295_24,ESL0353;ESL0185_26,ESL0263_27,ESL0263_28,ESL0183;ESL0262_29,ESL0183;ESL0262_30,ESL0183;ESL0262_31,ESL0183;ESL0262_32,ESL0184_48,ESL0184_49,ESL0184_50,ESL0184_51,ESL0350_52,ESL0350_53,ESL0350_54,ESL0350_55,ESL0186_56,ESL0186;ESL0351_57,ESL0261_58,ESL0261_59,ESL0820_61,ESL0827_62,unk_0,unk_1,unk_2,unk_3,unk_4,unk_5,unk_6,unk_7,unk_8,unk_9,unk_10,unk_11,unk_12,unk_13,unk_14,unk_15,unk_16,unk_17,unk_18,unk_19,unk_20,unk_21,unk_22,unk_23,unk_24,unk_25,unk_26,unk_27,unk_28,unk_29,unk_30,unk_31,total
3-5_filt_reads.fastq.gz,0,0,0,0,0,0,0,0,0,0,956,1244,1770,991,0,0,3343,13790,48,0,39,45,0,0,0,0,78,128,62,56,0,0,391,1268,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24232
3-17_filt_reads.fastq.gz,0,0,265,0,786,0,501,0,35,27,697,760,1023,675,0,0,1543,5918,1096,1698,1263,1464,0,0,0,0,3038,5765,2479,2365,0,0,2540,6551,939,0,0,0,0,0,0,9,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41517
1-9_filt_reads.fastq.gz,0,0,15,0,65,0,73,0,35,98,455,538,706,538,6,0,4370,16782,0,0,0,40,0,0,0,0,44,92,0,44,0,0,11,33,281,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24236
2-9_filt_reads.fastq.gz,0,0,542,0,646,0,693,0,42,116,1771,1878,2543,1812,0,54,5105,18615,304,350,356,513,0,0,0,0,549,735,457,450,0,0,591,1888,1251,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41279
2-21_filt_reads.fastq.gz,0,0,1953,0,2593,0,1998,0,172,365,1246,1672,2399,1254,0,0,3500,14070,657,1154,772,951,0,0,0,0,1638,3450,1087,976,0,0,960,2497,3368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48732
3-9_filt_reads.fastq.gz,0,0,112,0,35,0,35,0,37,20,237,267,398,269,0,0,4585,19559,251,242,307,312,0,0,0,0,154,216,131,169,0,0,82,288,253,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27962
1-12_filt_reads.fastq.gz,0,0,0,0,0,0,8,0,0,0,740,960,1233,887,0,0,768,2707,0,0,0,0,0,0,0,0,27,47,23,27,0,0,0,11,65,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7509
1-24_filt_reads.fastq.gz,548,232,0,763,0,107,0,10,0,0,0,0,0,0,2997,1129,0,0,881,1134,1024,1039,0,0,0,0,0,0,0,0,5648,4384,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20027
2-12_filt_reads.fastq.gz,0,0,167,0,440,0,225,0,17,28,1089,1280,1515,1073,0,0,1614,5583,94,111,99,102,0,0,0,0,167,203,122,127,0,0,80,184,264,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14593
2-24_filt_reads.fastq.gz,0,0,467,0,1935,0,1313,0,23,16,2385,2948,4179,2344,0,0,4369,16881,127,241,145,239,0,0,0,0,1059,1825,619,567,0,0,1011,2636,1968,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47301
