ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
2-5_7,bee,2,3,A5-0,,18.5401706695557,0.0390005484223366,357141683.169916,10052,11
2-5_5,bee,2,3,A5-0,yes,17.8689403533936,0.197330638766289,563174700.889494,49,2
2-7_1,bee,2,3,A5-B5,,14.5318489074707,1.24495482444763,5420500017.63639,11507,20
2-7_2,bee,2,3,A5-B5,,16.6250095367432,0.103167653083801,1309823898.90522,7131,15
2-7_3,bee,2,3,A5-B5,,14.0214910507202,0.0797000825405121,7663638034.4459,11118,14
2-7_4,bee,2,3,A5-B5,,15.0813455581665,0.0912838876247406,3733447401.10442,8922,15
2-7_6,bee,2,3,A5-B5,,15.0639696121216,0.0480043292045593,3777726355.19893,6846,13
2-7_7,bee,2,3,A5-B5,,17.9865875244141,0.196218937635422,519964973.760345,4372,16
2-7_8,bee,2,3,A5-B5,,16.3320465087891,0.444026827812195,1597883808.40294,8377,12
2-7_9,bee,2,3,A5-B5,,12.492636680603,0.0868312120437622,21625587637.7703,4634,16
2-7_5,bee,2,3,A5-B5,yes,14.8789014816284,0.189858198165894,4283192551.91008,130,1
2-9_1,bee,2,4,A6-0,,11.6768751144409,0.294489622116089,37615075654.4926,5251,12
2-9_2,bee,2,4,A6-0,,17.1967468261719,0.161797270178795,888647612.577313,3943,12
2-9_3,bee,2,4,A6-0,,13.8190841674805,0.0551907233893871,8791876629.65985,3459,12
2-9_4,bee,2,4,A6-0,,17.1428508758545,0.288831174373627,921747554.654127,14532,12
2-9_5,bee,2,4,A6-0,,13.0434427261353,0.0528295487165451,14881706783.0896,7517,11
2-9_6,bee,2,4,A6-0,,19.2946872711182,0.333750069141388,214039826.762995,18443,14
2-9_7,bee,2,4,A6-0,,18.6883068084717,0.341305196285248,322988308.722516,27675,19
2-9_8,bee,2,4,A6-0,,13.813404083252,0.381763339042664,8825827402.50333,4354,12
2-11_1,bee,2,4,A6-B6,,13.8279876708984,0.117782540619373,8738921575.52256,12706,17
2-11_10,bee,2,4,A6-B6,,16.4846363067627,0.129623278975487,1440718137.19224,31623,13
2-11_2,bee,2,4,A6-B6,,16.1379566192627,0.0342976935207844,1822807850.54896,7708,14
2-11_3,bee,2,4,A6-B6,,18.8680477142334,0.17824923992157,285903559.000817,7470,16
2-11_4,bee,2,4,A6-B6,,13.0251960754395,0.04222472012043,15067104042.4587,3701,11
2-11_5,bee,2,4,A6-B6,,18.3163928985596,0.276867985725403,415704625.613649,24479,13
2-11_6,bee,2,4,A6-B6,,16.8228130340576,0.642991542816162,1145309506.02386,12068,16
2-11_7,bee,2,4,A6-B6,,17.9339427947998,0.042983740568161,538874691.249798,4160,13
2-11_8,bee,2,4,A6-B6,,18.9614009857178,0.0283892452716827,268354944.185854,8046,19
2-11_9,bee,2,4,A6-B6,yes,NA,NA,NA,4232,NA
2-2_1,bee,2,3,B4-0,,12.8739547729492,0.474949806928635,16695467176.2675,7765,11
2-2_10,bee,2,3,B4-0,,13.2155256271362,0.0363949835300446,13241653341.0706,8035,12
2-2_2,bee,2,3,B4-0,,16.0239543914795,0.0675799921154976,1969408563.52716,5745,9
2-2_3,bee,2,3,B4-0,,12.4373435974121,0.0289588328450918,22452362712.4933,8520,11
2-2_4,bee,2,3,B4-0,,13.3349075317383,0.0367867387831211,12211301765.2742,12980,9
2-2_5,bee,2,3,B4-0,,14.3464784622192,0.342728495597839,6147032947.77073,10693,13
2-2_6,bee,2,3,B4-0,,17.3431911468506,0.174615725874901,804589565.364013,2574,12
2-2_7,bee,2,3,B4-0,,16.9766616821289,0.038855817168951,1031776724.65325,6630,11
2-2_9,bee,2,3,B4-0,,16.570291519165,0.350046992301941,1359369677.33974,6101,6
2-2_8,bee,2,3,B4-0,yes,NA,NA,NA,9927,NA
2-4_1,bee,2,3,B4-A4,,14.9507036209106,1.29201912879944,4079514382.60655,3178,13
2-4_10,bee,2,3,B4-A4,,14.7726373672485,0.0622728019952774,4603437082.35994,7532,14
2-4_2,bee,2,3,B4-A4,,11.705060005188,0.0661686137318611,36902537423.5804,4359,8
2-4_3,bee,2,3,B4-A4,,13.4419031143188,0.229914978146553,11356167682.7711,5279,14
2-4_4,bee,2,3,B4-A4,,12.9782257080078,0.0301048345863819,15555046947.8059,6561,14
