"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"1-11_1",21113129.0389726,217163612.972289,0,150808064.56409,155332306.501013,6032322.58256359,73895951.636404,7540403.22820449,0,60323225.8256359,3016161.2912818,583627209.863028,1508080.6456409,30161612.912818,187002000.059471,101041403.25794,298599967.836898,0,0,367971677.536379,656015080.853791,0,"A3-B3"
"1-11_2",61332160.7771655,260921565.340145,18711506.6777793,60292632.6284,110189983.769145,11434809.6364207,48857822.9919793,21830091.1240759,0,76925083.0086483,6237168.8925931,2363887010.29279,4158112.59506207,3118584.44629655,238051946.067303,409574090.613614,120585265.2568,0,0,828503934.566117,39502069.6530897,0,"A3-B3"
"1-11_3",0,145427379.570506,0,109070534.67788,87862375.1571808,0,30297370.7438554,0,0,39386581.9670121,15148685.3719277,2063250947.65656,9089211.22315663,30297370.7438554,236319491.802072,248438440.099615,1142210877.04335,0,0,481728194.827302,624125837.323422,0,"A3-B3"
"1-11_4",0,25390366.7769864,0,44433141.8597262,17455877.1591782,0,11108285.4649316,0,0,3173795.8471233,0,2066934545.43905,0,3173795.8471233,216611566.566165,113463201.534658,618096741.227263,0,0,437983826.903016,479243172.915619,0,"A3-B3"
"1-11_5",1889253.01461916,55732963.9312652,0,33061927.7558353,53843710.9166461,0,7084698.80482185,0,0,944626.50730958,0,1585083279.26547,472313.25365479,0,59511469.9605035,254104530.466277,530880097.107984,0,0,308892867.890233,368404337.850736,0,"A3-B3"
"1-11_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A3-B3"
"1-11_7",15115167.0196729,112046375.705465,3605452.68359171,52417735.169141,70167656.0729771,4298808.96889781,31339704.0958356,4853493.99714268,0,31478375.3528968,970698.799428537,400482590.392802,554685.028244878,1941397.59885707,117593225.987914,125358816.383343,104280785.310037,0,0,169040262.357627,320746617.582601,0,"A3-B3"
"1-11_8",205802.941786961,25862569.6845615,0,10838954.9341133,13102787.2937699,0,3292847.06859138,0,0,91788112.0369847,0,38004943.2499922,0,57693424.6809448,234478151.675945,11456363.7594742,31830854.9963833,0,0,10701752.972922,45894056.0184924,0,"A3-B3"
"1-12_1",128198438.674401,0,58757617.7257672,0,0,112173633.840101,0,92587761.2648454,17805338.704778,0,16024804.8343002,55196549.9848117,238591538.644025,16024804.8343002,831509317.51313,0,0,436230798.26706,128198438.674401,0,0,445133467.619449,"B3-A3"
"1-12_2",239777912.346027,6268703.59074581,86194674.3727549,0,0,224106153.369163,0,128508423.610289,51716804.6236529,0,62687035.9074581,0,199031339.006179,12537407.1814916,818065818.592328,0,0,424704668.273029,863513919.625235,0,0,313435179.53729,"B3-A3"
"1-12_3",194740814.381747,23684693.6410233,47369387.2820467,31579591.5213645,23684693.6410233,89475509.3105326,0,142108161.84614,21053061.014243,0,15789795.7606822,244741834.290575,2631632.62678037,57895917.7891682,1600032637.08247,0,0,252636732.170916,0,110528570.324776,0,1039494887.57825,"B3-A3"
"1-12_4",41510181.0278744,0,0,0,0,36954185.5492052,0,32060708.923968,1349924.58627234,0,0,674962.293136169,43872549.053851,6412141.7847936,577430241.777992,0,0,643745287.078621,131448906.588269,0,0,161484728.632828,"B3-A3"
"1-12_5",338202763.329099,15878064.006061,276278313.705461,0,17465870.4066671,408066244.955767,0,246109992.093945,285805152.109098,0,84153739.2321232,146078188.855761,866942294.73093,122261092.84667,1881550584.71823,20641483.2078793,0,1451255050.15397,0,55573224.0212135,0,1456018469.35579,"B3-A3"
"1-12_6",154076986.251959,10825986.4869632,84868001.210301,9666059.36336002,4833029.68168001,149243956.570279,1739890.6854048,72688766.4124674,29384820.4646145,0,20105403.4757889,93954097.0118594,395921791.523227,25711717.9065377,1057853536.72612,1739890.6854048,0,639119845.105365,0,153497022.690157,0,704269085.214411,"B3-A3"
"1-12_7",365946719.541602,8380459.22614356,114532942.757295,16760918.4522871,9777202.43050081,389691354.015675,0,189957075.792587,110342713.144223,0,30728350.4958597,82407849.0570783,0,43299039.335075,929532602.499756,6983716.0217863,0,1776657355.94243,0,99168767.5093654,0,884836819.960324,"B3-A3"
"1-12_8",360734755.790428,0,58966258.1580507,0,0,159555757.368843,0,20811620.5263708,34686034.210618,0,38154637.6316799,197710395.000523,0,6937206.84212361,180367377.895214,0,0,2525143290.53299,0,90183688.947607,0,496010289.211838,"B3-A3"
"1-12_9",44437537.4939235,0,27235910.0769209,0,0,53038351.2024249,0,42287334.0667982,10034282.6599182,0,1433468.95141689,85291402.6093048,269492162.866375,18635096.3684195,1217731874.22865,0,0,814210364.404792,0,8600813.70850133,0,613524711.206428,"B3-A3"
"1-12_10",125431914.037854,0,74581138.0765621,0,0,152552327.883877,0,105091603.653338,13560206.9230113,0,0,111871707.114843,0,33900517.3075282,1230588778.26328,0,0,647499880.573789,0,47460724.2305395,0,830562674.034442,"B3-A3"
