"ID","Bifidobacterium apousia (ESL0825)","Bifidobacterium apousia (ESL0820)","Bifidobacterium asteroides (ESL0822)","Bifidobacterium asteroides (ESL0170)","Bifidobacterium polysaccharolyticum (ESL0824)","Bifidobacterium polysaccharolyticum (ESL0198)","Bifidobacterium sp1. (ESL0827)","Bifidobacterium sp1. (ESL0199)","Bifidobacterium sp2. (ESL0200)","Bifidobacterium sp2. (ESL0819)","Bifidobacterium coryneforme (ESL0197)","Lactobacillus melliventris (ESL0394)","Bombilactobacillus mellis (ESL0295)","Bombilactobacillus mellifer (ESL1028)","Lactobacillus apis (ESL0263)","Lactobacillus apis (ESL0185)","Lactobacillus helsingborgensis (ESL0183)","Lactobacillus helsingborgensis (ESL0835)","Lactobacillus melliventris (ESL0184)","Lactobacillus melliventris (ESL0350)","Lactobacillus kullabergensis (ESL0186)","Lactobacillus kullabergensis (ESL0261)","Treatment"
"2-11_3",8917741.53242173,153094.275234708,0,4133545.43133711,13510569.789463,0,0,7654713.76173539,0,2985338.3670768,344462.119278093,14582229.7161059,30312666.4964722,1760584.16519914,17337926.6703307,32455986.3497581,0,103185541.508193,0,1301301.33949502,0,46617206.8089686,"A6-B6"
"2-11_4",317545018.998049,0,0,0,264620849.165041,0,0,358255918.869594,0,89563979.7173984,0,0,162843599.486179,8142179.97430894,1469663485.36276,883426527.21252,0,8150322154.28325,1612151634.91317,0,0,1750568694.47642,"A6-B6"
"2-11_5",14893294.5244156,0,0,1426495.71271484,17287769.4707584,0,0,8541992.18447099,0,3056776.52724608,0,3073758.61906411,0,1086853.87635416,79391279.2493079,28818609.8152033,0,215281977.977214,0,84910.4590901689,0,42625050.4632648,"A6-B6"
"2-11_6",61782937.3899182,0,0,6738231.26679599,24200689.7610279,0,664332.660106647,7307659.26117312,0,26763115.7357249,0,19360551.8088223,2087902.64604946,9110847.91003402,65768933.3505581,124040398.108484,284713.997188563,414448675.240818,179369818.228795,0,0,202336747.335339,"A6-B6"
"2-11_7",24741602.4107479,0,0,3108892.44951807,12824181.354262,0,0,8549454.23617468,0,5051950.23046686,0,2202132.15174196,3108892.44951807,0,45338014.8888051,20207800.9218674,0,330967508.688277,8808528.60696785,0,0,73318046.9344677,"A6-B6"
"2-11_8",7871211.38800168,0,633699.22191539,3568727.19710246,11273175.6319685,133410.362508503,133410.362508503,8671673.5630527,0,2901675.38455994,133410.362508503,7871211.38800168,14975313.1915795,1434161.39696641,29717158.2487691,24213980.7952933,0,103192915.400327,6770575.89730653,100057.771881377,0,44492355.8965858,"A6-B6"
"2-11_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A6-B6"
"2-11_10",31253601.5594307,0,0,5193747.19792288,23736335.8782265,0,0,20046041.8165445,0,9476310.67691193,0,2232400.11138791,19043739.7257172,0,78452918.2002036,28474491.2166825,0,873232917.040245,156450244.54094,0,0,192760915.740454,"A6-B6"
"2-12_1",0,387834553.170054,189959781.144516,0,0,205789762.906559,193917276.585027,0,0,0,0,5762113361.38366,0,0,1769000461.90831,0,3379701106.19619,0,0,2611946990.7371,2976036571.26409,0,"B6-A6"
"2-12_2",0,6389349.89949357,2643868.92392838,0,0,6169027.48916621,3084513.7445831,0,0,0,0,137260861.633948,0,220322.410327365,52657056.0682401,0,86146062.4379996,0,0,143870533.943769,216576929.351799,0,"B6-A6"
"2-12_3",0,58027146.9725754,13876056.8847463,0,0,6307298.58397559,16398976.3183365,0,11353137.4511561,0,7568758.30077071,1422926560.54489,0,0,468001554.930989,0,2427048495.11381,0,0,68118824.7069364,358254559.569814,0,"B6-A6"
"2-12_4",14317279.0085949,505877191.637021,128855511.077354,0,0,133627937.413553,171807348.103139,0,19089705.3447932,0,4772426.33619831,1531948853.91966,0,2386213.16809915,990278464.761149,0,555987668.167103,0,0,2166681556.63403,2939814623.09816,0,"B6-A6"
"2-12_5",86258255.6087967,1163640781.54612,531080240.414944,40592120.2864926,96406285.6804198,698522736.596726,779706977.169711,27061413.5243284,2741659457.68352,0,608881804.297388,1951804450.44218,1691338.34527052,81184240.5729851,3309949141.69441,0,2403391788.62941,0,0,2286689442.80575,2322207548.05643,0,"B6-A6"
"2-12_6",0,16035669.6016129,15462967.115841,0,0,6872429.82926268,11454049.7154378,0,9163239.77235025,0,0,383137962.981395,0,3436214.91463134,394592012.696832,0,446135236.416303,0,0,48107008.8048388,180401283.018145,0,"B6-A6"
"2-12_7",0,4864185.22684033,935420.235930833,0,0,2011153.50725129,3320741.83755446,0,0,0,0,149503539.207645,0,0,68028436.6580699,0,10710561.701408,0,0,20555859.6845801,43660739.5120716,0,"B6-A6"
"2-12_8",5831676.261866,134776518.052014,27862453.2511376,0,0,16847064.7565018,50541194.2695054,0,0,0,8423532.37825089,306486985.762513,0,27214489.2220413,312318662.024379,0,360915964.206596,0,0,366099676.439366,240394654.794699,0,"B6-A6"
"2-12_9",0,134428696.136884,105622546.964694,0,0,81617422.6545365,43209223.758284,0,0,0,0,2256481685.15483,0,28806149.1721894,1041822395.06085,0,1752374074.64152,0,0,2270884759.74093,1790782273.53777,0,"B6-A6"
