,ESL0825,ESL0820,ESL0822,ESL0170,ESL0824,ESL0198,ESL0827,ESL0199,ESL0200,ESL0819,ESL0197,ESL0294,ESL0394,ESL0295,ESL1028,ESL0263,ESL0185,ESL0183,ESL0835,ESL0354,ESL0393,ESL0259,ESL0260,ESL0184,ESL0350,ESL0186,ESL0261,unknown
2-9_6.fastq.gz,0,5,4,0,0,7,0,2,0,0,0,0,104,0,0,47,5293,98,12424,0,0,0,0,272,30,53,12,92
2-9_7.fastq.gz,329,16,0,22,172,6,0,270,0,43,0,0,274,304,24,116,2288,246,11360,0,0,0,0,8588,117,97,3297,106
2-9_8.fastq.gz,116,0,0,17,58,0,0,23,0,15,59,0,0,10,3,0,854,0,2157,0,0,0,0,180,0,0,862,0
2-10_1.fastq.gz,0,108,64,0,0,52,65,0,10,0,0,0,2468,0,6,1277,0,116,0,0,0,0,0,0,471,494,0,0
2-10_2.fastq.gz,0,8,8,0,0,7,0,0,0,0,0,0,827,0,11,300,0,185,0,0,0,0,0,0,452,456,0,0
2-10_3.fastq.gz,0,68,78,0,0,117,64,0,14,0,0,0,6072,0,295,796,0,4076,0,0,0,0,0,0,6388,8361,0,11
2-10_4.fastq.gz,0,134,29,0,0,92,29,0,5,0,3,0,1515,0,5,563,0,432,0,0,0,0,0,0,584,642,0,0
2-10_5.fastq.gz,0,166,52,0,0,119,45,0,0,0,0,0,3277,0,0,966,0,842,0,0,0,0,0,0,2714,2072,0,0
2-10_6.fastq.gz,0,482,150,0,0,144,139,0,204,0,8,0,2710,0,22,677,0,2100,0,0,0,0,0,0,898,823,0,452
2-10_7.fastq.gz,0,105,60,0,0,90,51,0,6,0,0,0,1485,0,47,737,0,362,0,0,0,0,0,0,1475,1250,0,0
2-10_8.fastq.gz,0,4,0,0,0,0,0,0,0,0,0,0,1997,0,0,1792,0,256,0,0,0,0,0,0,263,999,0,0
2-10_9.fastq.gz,0,723,118,0,0,166,112,0,22,0,22,0,1786,0,0,1223,0,2475,0,0,0,0,0,0,1174,1356,0,0
2-10_10.fastq.gz,0,168,70,0,0,90,38,0,12,0,0,0,1975,0,8,425,0,1710,0,0,0,0,0,0,1338,1001,0,2
2-11_1.fastq.gz,276,16,9,138,868,3,0,402,0,56,14,0,441,1088,42,2074,1306,0,3634,0,0,0,0,0,34,0,2305,0
2-11_2.fastq.gz,159,7,0,41,144,0,0,78,0,26,0,0,91,176,1,1317,1146,0,3115,0,0,0,0,198,17,0,1192,0
2-11_3.fastq.gz,233,4,0,108,353,0,0,200,0,78,9,0,381,792,46,453,848,0,2696,0,0,0,0,0,34,0,1218,17
2-11_4.fastq.gz,78,0,0,0,65,0,0,88,0,22,0,0,0,40,2,361,217,0,2002,0,0,0,0,396,0,0,430,0
2-11_5.fastq.gz,877,0,0,84,1018,0,0,503,0,180,0,0,181,0,64,4675,1697,0,12677,0,0,0,0,0,5,0,2510,8
2-11_6.fastq.gz,651,0,0,71,255,0,7,77,0,282,0,0,204,22,96,693,1307,3,4367,0,0,0,0,1890,0,0,2132,11
2-11_7.fastq.gz,191,0,0,24,99,0,0,66,0,39,0,0,17,24,0,350,156,0,2555,0,0,0,0,68,0,0,566,5
2-11_8.fastq.gz,236,0,19,107,338,4,4,260,0,87,4,0,236,449,43,891,726,0,3094,0,0,0,0,203,3,0,1334,8
2-11_9.fastq.gz,41,0,0,3,0,0,0,6,0,0,0,0,9,0,0,0,294,0,3749,0,0,0,0,0,1,0,129,0
2-11_10.fastq.gz,686,0,0,114,521,0,0,440,0,208,0,0,49,418,0,1722,625,0,19167,0,0,0,0,3434,0,0,4231,8
2-12_1.fastq.gz,0,98,48,0,0,52,49,0,0,0,0,0,1456,0,0,447,0,854,0,0,0,0,0,0,660,752,0,0
2-12_2.fastq.gz,0,29,12,0,0,28,14,0,0,0,0,0,623,0,1,239,0,391,0,0,0,0,0,0,653,983,0,0
2-12_3.fastq.gz,0,46,11,0,0,5,13,0,9,0,6,0,1128,0,0,371,0,1924,0,0,0,0,0,0,54,284,0,0
2-12_4.fastq.gz,6,212,54,0,0,56,72,0,8,0,2,0,642,0,1,415,0,233,0,0,0,0,0,0,908,1232,0,0
2-12_5.fastq.gz,51,688,314,24,57,413,461,16,1621,0,360,0,1154,1,48,1957,0,1421,0,0,0,0,0,0,1352,1373,0,3
2-12_6.fastq.gz,0,28,27,0,0,12,20,0,16,0,0,0,669,0,6,689,0,779,0,0,0,0,0,0,84,315,0,0
2-12_7.fastq.gz,0,208,40,0,0,86,142,0,0,0,0,0,6393,0,0,2909,0,458,0,0,0,0,0,0,879,1867,0,0
2-12_8.fastq.gz,9,208,43,0,0,26,78,0,0,0,13,0,473,0,42,482,0,557,0,0,0,0,0,0,565,371,0,0
2-12_9.fastq.gz,0,28,22,0,0,17,9,0,0,0,0,0,470,0,6,217,0,365,0,0,0,0,0,0,473,373,0,0
a4-0.fastq.gz,0,138,122,0,0,271,145,0,0,754,492,0,0,593,211,74,0,63,0,0,0,0,0,0,51,55,0,0
a4-3.fastq.gz,0,1404,1050,0,0,2617,1193,0,0,5414,2922,0,0,4230,1174,853,0,502,0,0,0,0,0,0,499,677,0,75
a5-0.fastq.gz,0,1984,1708,0,0,2477,0,2779,7244,0,3818,0,0,6354,1355,1258,0,0,1107,0,0,0,0,1167,0,703,0,335
a5-3.fastq.gz,0,68,38,0,0,75,0,58,154,0,106,0,1,183,90,29,0,0,32,0,0,0,0,36,0,22,0,0
a6-0.fastq.gz,70,0,0,36,71,0,0,77,0,274,180,0,0,208,78,0,22,0,53,0,0,0,0,56,0,0,9,0
a6-3.fastq.gz,1853,0,0,1044,2310,0,0,2182,0,5362,2736,0,3,4550,1147,0,781,0,1037,0,0,0,0,1308,0,0,476,168
eb-4.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,38,0,14,18,0,15,264,0,0,0,0,26,0,0,21,285
b4-0.fastq.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
b4-3.fastq.gz,2597,0,0,938,2310,0,0,2138,5461,0,2832,0,985,0,1527,0,1237,0,1140,0,0,0,0,1104,0,0,329,105
b5-0.fastq.gz,7088,0,0,3145,6037,0,3925,0,0,19294,9386,0,1952,0,4079,0,1910,1333,0,0,0,0,0,0,1430,0,796,441
b5-3.fastq.gz,5266,0,0,2106,5376,0,3335,0,0,11072,5848,0,2451,0,4641,0,2736,1464,0,0,0,0,0,0,1186,0,1134,784
b6-0.fastq.gz,0,1098,1425,0,0,1157,891,0,4332,0,2874,0,821,0,1094,1053,0,302,0,0,0,0,0,0,521,1193,0,1001
b6-3.fastq.gz,0,1362,1467,0,0,1747,1612,0,3558,0,2451,0,1462,0,2380,1677,0,1103,0,0,0,0,0,0,882,886,0,252
